transaction_id,user_id,agent_id,authorization_id,timestamp,authorized_limit,daily_limit,allowed_categories,usual_category,avg_order_value,normal_velocity,account_age_days,amount,merchant_category,merchant_name,txns_in_last_10min,merchant_seen_before,label,scenario
a0f42983,U291,AG-39260,AUTH-97232,2026-08-01T00:05:00,2000,4000.0,utilities|food_delivery|fuel|electronics,fuel,238.69,1,633,345.87,fuel,Metro Retail,2,False,0,legitimate
a2a4bda1,U314,AG-28772,AUTH-51469,2026-08-01T00:19:00,2000,6000.0,fashion|travel|utilities,fashion,716.05,1,762,931.42,fashion,Trust Enterprises,1,True,0,legitimate
4a676ec3,U400,AG-82100,AUTH-52553,2026-08-01T00:20:00,15000,22500.0,electronics|fashion,fashion,1336.03,3,895,968.92,fashion,Coral Bazaar,5,True,0,legitimate
61997222,U567,AG-33559,AUTH-12486,2026-08-01T00:40:00,10000,30000.0,food_delivery|fashion|pharmacy|entertainment,food_delivery,2399.64,3,311,2263.31,food_delivery,Nova Solutions,2,True,0,legitimate
f7b7547a,U297,AG-96772,AUTH-91931,2026-08-01T00:47:00,10000,20000.0,food_delivery|grocery,grocery,1493.66,2,644,2189.32,grocery,Nova Hub,1,True,0,legitimate
c41b768b,U383,AG-13744,AUTH-14607,2026-08-01T00:53:00,2000,3000.0,fashion|food_delivery|pharmacy,food_delivery,551.77,1,709,573.7,food_delivery,Prime Retail,1,True,0,legitimate
a68233a6,U566,AG-31707,AUTH-13251,2026-08-01T01:06:00,15000,30000.0,entertainment|electronics|fuel|grocery,grocery,1060.0,2,615,1265.23,grocery,Nimbus Ventures,2,True,0,legitimate
455dc935,U267,AG-23526,AUTH-51071,2026-08-01T01:34:00,5000,15000.0,entertainment|grocery|fashion|fuel,fashion,1661.65,2,406,7651.08,fashion,Aster Stores,2,True,1,budget_abuse
68b8707a,U166,AG-37152,AUTH-86858,2026-08-01T01:52:00,5000,7500.0,food_delivery|gift_cards|grocery,food_delivery,1605.57,1,251,2343.47,gift_cards,Urban Retail,1,False,0,legitimate
9efc14c3,U258,AG-83607,AUTH-76248,2026-08-01T02:06:00,15000,45000.0,electronics|fashion|pharmacy|gift_cards,pharmacy,479.7,2,698,356.37,pharmacy,Urban Retail,1,True,0,legitimate
5baa68c9,U241,AG-33508,AUTH-51220,2026-08-01T02:13:00,15000,45000.0,pharmacy|food_delivery|grocery,pharmacy,646.83,3,46,425.34,pharmacy,Coral Stores,2,True,0,legitimate
ed9042fc,U369,AG-86406,AUTH-55625,2026-08-01T02:24:00,15000,30000.0,utilities|pharmacy|gift_cards|travel,utilities,1881.78,1,385,31007.45,utilities,Orion Solutions,1,True,1,budget_abuse
074ac419,U336,AG-98542,AUTH-83647,2026-08-01T02:43:00,10000,15000.0,travel|electronics|grocery,grocery,1993.24,1,259,2355.35,grocery,Vega Hub,1,False,0,legitimate
16c06dae,U300,AG-77740,AUTH-84905,2026-08-01T03:03:00,15000,45000.0,fashion|grocery,grocery,2073.25,2,723,1708.82,grocery,Orion Express,1,False,0,legitimate
9e3a85de,U334,AG-25126,AUTH-56168,2026-08-01T03:16:00,10000,30000.0,fashion|gift_cards|pharmacy|food_delivery,pharmacy,1763.54,3,605,13017.89,pharmacy,Orion Bazaar,3,True,1,budget_abuse
4482eb9a,U148,AG-55607,AUTH-63523,2026-08-01T03:29:00,2000,3000.0,pharmacy|grocery,grocery,524.56,1,371,732.8,grocery,Kavya Ventures,1,True,0,legitimate
ea919467,U457,AG-98829,AUTH-33582,2026-08-01T03:53:00,10000,20000.0,food_delivery|travel|utilities,travel,1966.9,3,350,2053.72,travel,Kavya Stores,4,False,0,legitimate
b4aa620f,U288,AG-33081,AUTH-41005,2026-08-01T03:56:00,15000,45000.0,pharmacy|gift_cards|electronics,pharmacy,732.46,1,636,953.34,pharmacy,Kavya Mart,1,True,0,legitimate
06a78c23,U336,AG-98542,AUTH-83647,2026-08-01T03:57:00,10000,15000.0,travel|electronics|grocery,grocery,1993.24,1,259,2540.91,grocery,Nova Enterprises,1,True,0,legitimate
604845f3,U538,AG-84600,AUTH-26950,2026-08-01T04:04:00,2000,4000.0,pharmacy|food_delivery|fuel,pharmacy,168.77,2,246,118.68,pharmacy,Nimbus Enterprises,2,True,0,legitimate
